id,stock_id,ticker,issuer_name,insider_name,role,transaction_type,shares,price,value,date,filing_date,ownership_before,ownership_after,ownership_change_pct,direct_ownership,purpose,source_url,score,score_reasons,rvol,is_buyback,insider_win_rate,price_history,filing_hash,date_inferred,confidence,created_at
"48","40","TPIA","","RAYMOND","DIREKTUR","BUY","625000","2660","1662500000","2026-05-20","2026-05-20","3300000","3925000","18.939394","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-3394-00.pdf-0.pdf","13","[""DIREKTUR Buy (+3)"", ""Large Value (+3)"", ""Direct Ownership (+1)"", ""Significant Stake Increase >10% (+2)"", ""Extreme Volume Sigma 6.52x (+4)""]","6.52","false","null","[4300.0, 4300.0, 3660.0, 3120.0, 2660.0]","null","true","0.8","2026-05-20T16:08:50.598326+00:00"
"62","68","BULL","","WONG KEVIN","DIREKTUR","BUY","2000000","408","816000000","2026-05-20","2026-05-20","342837950","344837950","0.583366","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-3826-00.pdf-0.pdf","7","[""DIREKTUR Buy (+3)"", ""Significant Value (+2)"", ""Direct Ownership (+1)"", ""Follow-on Accumulation (+1)""]","0.85","false","null","[468.0, 468.0, 438.0, 402.0, 408.0]","null","true","0.8","2026-05-20T16:10:04.179279+00:00"
"61","68","BULL","","WONG KEVIN","DIREKTUR","BUY","2000000","408","816000000","2026-05-20","2026-05-20","342837950","344837950","0.583366","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-3826-00.pdf-0.pdf","7","[""DIREKTUR Buy (+3)"", ""Significant Value (+2)"", ""Direct Ownership (+1)"", ""Follow-on Accumulation (+1)""]","0.85","false","null","[468.0, 468.0, 438.0, 402.0, 408.0]","null","true","0.8","2026-05-20T16:10:03.774220+00:00"
"60","74","DKFT","","PT JINSHENG MINING","","BUY","121557400","670","81443458000","2026-05-20","2026-05-20","3475113878","3596671278","3.49794","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-7593-00.pdf-0.pdf","6","[""Ultra Large Value (+5)"", ""Direct Ownership (+1)""]","1.08","false","null","[750.0, 750.0, 730.0, 690.0, 670.0]","null","true","0.8","2026-05-20T16:10:01.825812+00:00"
"59","74","DKFT","","PT JINSHENG MINING","","BUY","121557400","670","81443458000","2026-05-20","2026-05-20","3475113878","3596671278","3.49794","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-7593-00.pdf-0.pdf","6","[""Ultra Large Value (+5)"", ""Direct Ownership (+1)""]","1.08","false","null","[750.0, 750.0, 730.0, 690.0, 670.0]","null","true","0.8","2026-05-20T16:10:01.217468+00:00"
"58","73","BMBL","","GALIH PANDEKAR","DIREKTUR","SELL","2864500","33","94528500","2026-05-20","2026-05-20","98070600","95206100","-2.920855","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-6962-00.pdf-0.pdf","-2","[""Insider Sell (-2)""]","0.52","false","null","[34.0, 34.0, 33.0, 34.0, 33.0]","null","true","0.8","2026-05-20T16:10:00.414906+00:00"
"57","73","BMBL","","GALIH PANDEKAR","DIREKTUR","SELL","2864500","33","94528500","2026-05-20","2026-05-20","98070600","95206100","-2.920855","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-6962-00.pdf-0.pdf","-2","[""Insider Sell (-2)""]","0.52","false","null","[34.0, 34.0, 33.0, 34.0, 33.0]","null","true","0.8","2026-05-20T16:09:58.500881+00:00"
"56","73","BMBL","","SENTRA INVESTA MAKSIMA","","SELL","2864500","33","94528500","2026-05-20","2026-05-20","98070600","95206100","-2.920855","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-6310-00.pdf-0.pdf","-2","[""Insider Sell (-2)""]","0.52","false","null","[34.0, 34.0, 33.0, 34.0, 33.0]","null","true","0.8","2026-05-20T16:09:58.538262+00:00"
"55","73","BMBL","","SENTRA INVESTA MAKSIMA","","SELL","2864500","33","94528500","2026-05-20","2026-05-20","98070600","95206100","-2.920855","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-6310-00.pdf-0.pdf","-2","[""Insider Sell (-2)""]","0.52","false","null","[34.0, 34.0, 33.0, 34.0, 33.0]","null","true","0.8","2026-05-20T16:09:56.849322+00:00"
"54","71","ASRI","","MAYBANK SEKURITAS INDONESIA","","BUY","145534648","114","16590949872","2026-05-20","2026-05-20","1668737300","1814271948","8.721244","true","null","https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_KSEI/LK-20052026-3127-00.pdf-0.pdf","6","[""Ultra Large Value (+5)"", ""Direct Ownership (+1)""]","0.94","false","null","[125.0, 125.0, 121.0, 118.0, 114.0]","null","true","0.8","2026-05-20T16:09:54.921480+00:00"
